filename,lamani,english,path
aao_bahar_jao_come_lets_go_outside.wav,aao bahar jao,come lets go outside,c:/major project/processed_data\aao_bahar_jao_come_lets_go_outside.wav
Baapu_Dad.wav,Baapu,Dad,c:/major project/processed_data\Baapu_Dad.wav
beta_son.wav,beta,son,c:/major project/processed_data\beta_son.wav
Beti_Daughter.wav,Beti,Daughter,c:/major project/processed_data\Beti_Daughter.wav
bhagwan_god.wav,bhagwan,god,c:/major project/processed_data\bhagwan_god.wav
bhaye_elder_brother.wav,bhaye,elder brother,c:/major project/processed_data\bhaye_elder_brother.wav
bhen_sister.wav,bhen,sister,c:/major project/processed_data\bhen_sister.wav
chori_girl.wav,chori,girl,c:/major project/processed_data\chori_girl.wav
dagar_jho_go_back.wav,dagar jho,go back,c:/major project/processed_data\dagar_jho_go_back.wav
ee_this.wav,ee,this,c:/major project/processed_data\ee_this.wav
gharati_bahar_jha_math_dont_go_outside_the_house.wav,gharati bahar jha math,dont go outside the house,c:/major project/processed_data\gharati_bahar_jha_math_dont_go_outside_the_house.wav
gharati_bhahar_jha_math_dont_go_outside_the_house.wav,gharati bhahar jha math,dont go outside the house,c:/major project/processed_data\gharati_bhahar_jha_math_dont_go_outside_the_house.wav
Hamar_Ours.wav,Hamar,Ours,c:/major project/processed_data\Hamar_Ours.wav
het_utar_come_down.wav,het utar,come down,c:/major project/processed_data\het_utar_come_down.wav
jhavo_go.wav,jhavo,go,c:/major project/processed_data\jhavo_go.wav
kai_khari_chi_tu_what_are_you_eating.wav,kai khari chi tu,what are you eating,c:/major project/processed_data\kai_khari_chi_tu_what_are_you_eating.wav
little_sister_little_sister.wav,little sister,little sister,c:/major project/processed_data\little_sister_little_sister.wav
ma_hannu_khari_chu_i_am_eating_fruits_(reffering_girl_).wav,ma hannu khari chu,i am eating fruits (reffering girl ),c:/major project/processed_data\ma_hannu_khari_chu_i_am_eating_fruits_(reffering_girl_).wav
ma_hannu_kharu_chu_i_am_eating_fruits.wav,ma hannu kharu chu,i am eating fruits,c:/major project/processed_data\ma_hannu_kharu_chu_i_am_eating_fruits.wav
ma_kaam_kharu_chi_i_am_doing_work.wav,ma kaam kharu chi,i am doing work,c:/major project/processed_data\ma_kaam_kharu_chi_i_am_doing_work.wav
ma_kaam_kharu_chu_i_am_doing_work.wav,ma kaam kharu chu,i am doing work,c:/major project/processed_data\ma_kaam_kharu_chu_i_am_doing_work.wav
ma_soyen_jhari_chu_i_am_going_to_sleep.wav,ma soyen jhari chu,i am going to sleep,c:/major project/processed_data\ma_soyen_jhari_chu_i_am_going_to_sleep.wav
ma_soyen_jharu_chu_i_am_going_to_sleep_(_reffering_boy).wav,ma soyen jharu chu,i am going to sleep ( reffering boy),c:/major project/processed_data\ma_soyen_jharu_chu_i_am_going_to_sleep_(_reffering_boy).wav
maa_me.wav,maa,me,c:/major project/processed_data\maa_me.wav
maar_mine.wav,maar,mine,c:/major project/processed_data\maar_mine.wav
Mar_naam_nandan_My_name_is_nandan.wav,Mar naam nandan,My name is nandan,c:/major project/processed_data\Mar_naam_nandan_My_name_is_nandan.wav
Nasta_khaldo_kai_Had_breakfast.wav,Nasta khaldo kai,Had breakfast,c:/major project/processed_data\Nasta_khaldo_kai_Had_breakfast.wav
ram_ram_aram_chi_kai_hello_how_are_you.wav,ram ram aram chi kai,hello how are you,c:/major project/processed_data\ram_ram_aram_chi_kai_hello_how_are_you.wav
tandri_she.wav,tandri,she,c:/major project/processed_data\tandri_she.wav
tandro_he.wav,tandro,he,c:/major project/processed_data\tandro_he.wav
tar_yours(singular).wav,tar,yours(singular),c:/major project/processed_data\tar_yours(singular).wav
tar_naam_kaincha_what_is_your_name.wav,tar naam kaincha,what is your name,c:/major project/processed_data\tar_naam_kaincha_what_is_your_name.wav
tu_you.wav,tu,you,c:/major project/processed_data\tu_you.wav
tumar_yours.wav,tumar,yours,c:/major project/processed_data\tumar_yours.wav
upar_jho_go_up.wav,upar jho,go up,c:/major project/processed_data\upar_jho_go_up.wav
voo_they.wav,voo,they,c:/major project/processed_data\voo_they.wav
vuu_that.wav,vuu,that,c:/major project/processed_data\vuu_that.wav
